parent_company,lens_id,date_published,publication_type,patent_status,title,applicants,climate_codes,abstract
Alphabet,119-785-450-234-305,2025-06-24,GRANTED_PATENT,ACTIVE,"Future prediction, using stochastic adversarial based sampling, for robotic control and/or other purpose(s)",GOOGLE LLC,Y02P90/02,"Techniques are disclosed that enable the generation of predicted sequences of terminals using a generator model portion of a prediction model. Various implementations include controlling actuators of a robot based on the predicted sequences of terminals. Additional or alternative implementations include jointly training the generator model portion of the prediction model using a discriminator model portion of the prediction model using, for example, stochastic adversarial based sampling."
Alphabet,192-522-304-016-804,2024-09-12,PATENT_APPLICATION,PENDING,METHOD FOR MANAGING REACHABILITY OF A USER EQUIPMENT IN A NON-TERRESTRIAL NETWORK,GOOGLE LLC,Y02D30/70,"A user equipment (UE) communicating with a non-terrestrial network (NTN) node can implement a method for managing paging for the UE from a core network (CN). The method includes: (i) receiving, from the CN and at the UE, a downlink message including NTN time information associated with reachability; (ii) starting, at the UE, a timer with a time duration based on the NTN time information; and (iii) suspending, at the UE, monitoring paging for the UE while the timer is running."
Alphabet,040-353-677-120-026,2023-11-01,GRANTED_PATENT,ACTIVE,HOTWORD-ERKENNUNG UND PASSIVE ASSISTENZ,GOOGLE LLC,Y02D30/70; Y02D30/70,
Alphabet,111-639-940-653-995,2025-12-18,PATENT_APPLICATION,PENDING,POWER EFFICIENT DATA ROUTING,GOOGLE LLC,Y02D30/70,"In one example, a method for power efficient data routing comprises determining, by a computing device comprising a plurality of radios, one or more signal conditions for each of the plurality of radios, determining, by the computing device, an amount of data the computing device is predicted to transfer within a particular period of time, the amount of data being a predicted amount of data, determining, by the computing device and based on the one or more signal conditions for each of the plura"
Alphabet,061-094-906-110-621,2024-11-14,PATENT_APPLICATION,PENDING,ENHANCED CELL RESELECTION PROCEDURE SUPPORTING NETWORK ENERGY SAVING,GOOGLE LLC,Y02D30/70,"To perform cell reselection, a user equipment (UE) receives (1806), from a radio access network (RAN), a network energy saving (NES) offset value corresponding to an adjustment in a signal measurement quantity for the cell reselection; performs (1816), in an idle state of a radio connection between the UE and the RAN, measurements on a plurality of candidate cells; and performs (1818) the cell reselection based on the measurements and the offset value."
Alphabet,180-875-567-190-191,2024-11-14,PATENT_APPLICATION,PENDING,MANAGING DATA COMMUNICATION FOR POWER SAVING,GOOGLE LLC,Y02D30/70,"A method (1800) communicating downlink data packets between a core network (CN) and a user equipment (UE) is implemented in the RAN. The method comprises communicating (1802), between the CN and the UE, the data packets; receiving (1856), from the CN, an indication of an end of a data burst that includes the data packets; and transmitting, (1890) to the UE and in response to the receiving of the indication, a command related to a power saving mode."
Alphabet,121-787-837-235-514,2022-09-01,GRANTED_PATENT,ACTIVE,"Hardware circuit and method for multiplying sets of inputs, and non-transitory machine-readable storage device",GOOGLE LLC,Y02D10/00; Y02D10/00,
Alphabet,109-844-332-551-478,2025-12-11,PATENT_APPLICATION,PENDING,Low H-Field Tab Configuration for a Cylindrical-Winding Battery,GOOGLE LLC,Y02E60/10,"The present document describes a low magnetic field (H-field) tab configuration for a cylindrical-winding battery. The battery design is a rolled and stacked battery, with two or more winding rolls of cathode and anode layers separated by insulation layers, the winding rolls also being separated by a distance with the distance, in some embodiments, filled with a dielectric material. A first tab is electrically connected to a first layer of the plurality of layers, the first layer having a first "
Alphabet,019-844-301-845-227,2024-05-16,GRANTED_PATENT,ACTIVE,Thread over internet protocol,GOOGLE LLC,Y02D30/70,"Techniques and devices for determining a preferred physical layer for communication by a node in a Thread network are described. The node transmits a first IPv6 over Low power Wireless Personal Area Networks, 6LoWPAN, frame to a neighbor node using a first physical layer (502) and transmits the first 6LoWPAN frame to the neighbor node using a second physical layer (504). The node determines a first preference value for the neighbor node using the first physical layer (506) and determines a secon"
Alphabet,109-123-980-833-334,2022-11-22,GRANTED_PATENT,ACTIVE,Using mobile data to improve weather information,GOOGLE LLC,Y02A90/10; Y02A90/10; Y02A90/10,"A system (100) for using mobile data to improve weather information is provided. The system (100) includes a weather prediction station (120) configured to receive stationary observation data provided by a plurality of stationary weather stations (110) along with data from a plurality of input weather models (115) and generate unified weather model estimates based on the stationary observation data, the input weather model data, and a processor (130). The processor (130) is configured to aggrega"
Alphabet,009-343-192-857-078,2022-03-29,GRANTED_PATENT,ACTIVE,Authentication management through IMU and radar,GOOGLE LLC,Y02D10/00,"This document describes techniques and systems for authentication management through IMU and radar. The techniques and systems use inertial sensor data from an inertial measurement unit (IMU) and/or radar data to manage authentication for a computing device. By so doing, the techniques conserve power, improve accuracy, or reduce latency relative to many common techniques and systems for computing-device authentication."
Alphabet,053-108-754-330-637,2025-12-09,GRANTED_PATENT,ACTIVE,Efficient datacenter energy management based on compute capacity and fleet management,GOOGLE LLC,Y02D10/00,"The technology is generally directed to a management framework that uses a predictive feedback control loop to reduce energy consumption of a datacenter. The framework determines how to place a series of jobs or workloads on the available pool of machines in a datacenter. For example, the framework may consider the current workload profile and the workload demand forecast of the datacenter to determine an updated workload profile. The updated workload profile may include a redistribution of the "
Alphabet,066-842-965-347-197,2019-11-19,GRANTED_PATENT,ACTIVE,Using user input to adapt search results provided for presentation to the user,GOOGLE INC; GOOGLE LLC,Y02B20/40,"Methods, apparatus, and computer readable media related to interaction between a user and an automated assistant during a dialog between the user and the automated assistant. Some implementations are directed to adapting a graphical and/or audible presentation of search results provided by the automated assistant for presentation to the user. The adaptation may be in response to attribute(s), of one or more of the search results, referenced in spoken and/or typed textual input provided by the us"
Alphabet,083-909-908-715-125,2013-09-05,GRANTED_PATENT,INACTIVE,FACIAL FEATURE DETECTION,GOOGLE LLC,Y04S40/20,"An example method includes capturing, by a camera of a computing device, an image including at least a face of a user, calculating a face template of the face of the user in the image, and analyzing the face template to determine whether the face includes at least one of a removable facial feature that decreases a level of distinctiveness between two faces and a non-removable facial feature that decreases a level of distinctiveness between two faces. When the face includes the removable facial f"
Alphabet,087-973-850-043-822,2023-12-26,GRANTED_PATENT,ACTIVE,Physics-informed optimization for autonomous driving systems,WAYMO LLC,Y02T10/60,"A method includes identifying, based on grade data of a route of an autonomous vehicle (AV), a segment of the route that has a grade value that meets a threshold grade value. Responsive to identifying the segment, the method further includes generating, based on the grade data and physical vehicle data of the AV, driving constraint data for the segment of the route. The method further includes causing a routing module of the AV to generate, based on the driving constraint data for the segment of"
