parent_company,lens_id,date_published,title,applicants,climate_codes,abstract
Alphabet,024-109-004-928-464,2025-12-31,ZUKUNFTSVORHERSAGE MITTELS STOCHASTISCHER KONTRADIKTORISCHER ABTASTUNG FÜR ROBOTERSTEUERUNG,GOOGLE LLC,Y02P90/02,
Alphabet,042-809-689-680-288,2025-12-31,VERFAHREN ZUR VERWALTUNG DER ERREICHBARKEIT EINES BENUTZERGERÄTS IN EINEM NICHT TERRESTRISCHEN NETZWERK,GOOGLE LLC,Y02D30/70,
Alphabet,123-129-228-295-720,2025-12-31,HOTWORD-ERKENNUNG UND PASSIVE ASSISTENZ,GOOGLE LLC,Y02D30/70; Y02D30/70,
Alphabet,185-331-664-152-943,2025-12-24,LEISTUNGSEFFIZIENTE DATENLENKUNG,GOOGLE LLC,Y02D30/70,"In one example, a method for power efficient data routing comprises determining, by a computing device comprising a plurality of radios, one or more signal conditions for each of the plurality of radios, determining, by the computing device, an amount of data the computing device is predicted to transfer within a particular period of time, the amount of data being a predicted amount of data, determining, by the computing device and based on the one or more signal conditions for each of the plura"
Alphabet,126-065-426-734-981,2025-12-19,Enhanced cell reselection procedure supporting network energy conservation,GOOGLE INC,Y02D30/70,"To perform cell reselection, a user equipment (UE) receives (1806) from a radio access network (RAN) a network energy saving (NES) offset value corresponding to an adjustment of a signal measurement amount of the cell reselection; performing (1816) measurements on a plurality of candidate cells in an idle state of a radio connection between the UE and the RAN; and performing (1818) the cell reselection based on the measurement and the offset value."
Alphabet,082-449-890-588-218,2025-12-19,Managing data communications to save power,GOOGLE INC,Y02D30/70,"A method (1800) of transmitting downlink data packets between a core network (CN) and a user equipment (UE) is implemented in a RAN. The method comprises transmitting (1802) a data packet between the CN and the UE; receiving (1856), from the CN, an indication of an end of a data burst comprising the data packet; and in response to receiving the indication, sending (1890) a command related to the power saving mode to the UE."
Alphabet,111-639-940-653-995,2025-12-18,POWER EFFICIENT DATA ROUTING,GOOGLE LLC,Y02D30/70,"In one example, a method for power efficient data routing comprises determining, by a computing device comprising a plurality of radios, one or more signal conditions for each of the plurality of radios, determining, by the computing device, an amount of data the computing device is predicted to transfer within a particular period of time, the amount of data being a predicted amount of data, determining, by the computing device and based on the one or more signal conditions for each of the plura"
Alphabet,162-867-518-325-78X,2025-12-16,Multi-word multiplier with symbols,GOOGLE INC,Y02D10/00; Y02D10/00,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for hardware circuitry configured as a signed multi-word multiplier. The circuit includes processing circuitry that receives inputs, each input having a respective bit width. The processing circuitry can represent at least one input as a signed multi-word input based on a first input having a bit width that exceeds a fixed bit width of the hardware circuitry. The circuit includes signed multipliers"
Alphabet,109-844-332-551-478,2025-12-11,Low H-Field Tab Configuration for a Cylindrical-Winding Battery,GOOGLE LLC,Y02E60/10,"The present document describes a low magnetic field (H-field) tab configuration for a cylindrical-winding battery. The battery design is a rolled and stacked battery, with two or more winding rolls of cathode and anode layers separated by insulation layers, the winding rolls also being separated by a distance with the distance, in some embodiments, filled with a dielectric material. A first tab is electrically connected to a first layer of the plurality of layers, the first layer having a first "
Alphabet,063-974-253-351-361,2025-12-10,THREAD ÜBER INTERNETPROTOKOLL,GOOGLE LLC,Y02D30/70,
Alphabet,094-126-291-499-378,2025-12-10,VERWENDUNG MOBILER DATEN ZUR VERBESSERUNG VON WETTERINFORMATIONEN,GOOGLE LLC,Y02A90/10; Y02A90/10; Y02A90/10,
Alphabet,134-355-025-715-005,2025-12-09,AUTHENTICATION MANAGEMENT VIA IMU AND RADAR,GOOGLE LLC,Y02D10/00,"To provide a technique and a system for authentication management via an IMU and a radar.SOLUTION: A technique and a system use inertia sensor data and/or radar data from an inertial measurement unit (IMU) in order to manage authentication for a computing device. Accordingly, the technique saves electric power, improves accuracy and reduces a waiting time compared to a number of general techniques and systems for authentication for the computing device.SELECTED DRAWING: Figure 1"
Alphabet,053-108-754-330-637,2025-12-09,Efficient datacenter energy management based on compute capacity and fleet management,GOOGLE LLC,Y02D10/00,"The technology is generally directed to a management framework that uses a predictive feedback control loop to reduce energy consumption of a datacenter. The framework determines how to place a series of jobs or workloads on the available pool of machines in a datacenter. For example, the framework may consider the current workload profile and the workload demand forecast of the datacenter to determine an updated workload profile. The updated workload profile may include a redistribution of the "
Alphabet,011-526-143-964-460,2025-12-04,"Verwenden einer Anwendereingabe, um Suchergebnisse, die für die Darstellung für den Anwender bereitgestellt werden, anzupassen",GOOGLE LLC,Y02B20/40,"Verfahren, das durch einen oder mehrere Prozessoren (1014) implementiert ist und das umfasst:Empfangen einer Eingabe, wobei die Eingabe auf einer durch einen Anwender (101) über eine Anwenderschnittstellen-Eingabevorrichtung (102) erzeugten Eingabe in eine Anwenderschnittstelle basiert,wobei die Eingabe in die Anwenderschnittstelle durch den Anwender (101) als Teil eines Dialogs zwischen dem Anwender (101) und einem automatisierten Assistenten (120), der wenigstens teilweise durch einen oder meh"
Alphabet,168-048-205-147-336,2025-12-04,Gesichtsmerkmalserfassung,GOOGLE LLC,Y04S40/20,"Verfahren, das umfasst:Speichern einer Gruppe von Schablonen (60) entfernbarer Gesichtsmerkmale und einer Gruppe von Schablonen (62) nicht entfernbarer Gesichtsmerkmale;Gewichten jeder der Mehrzahl Schablonen (60) entfernbarer Gesichtsmerkmale und der Mehrzahl Schablonen (62) nicht entfernbarer Gesichtsmerkmale in der Weise, dass die Gesichtsmerkmalsschablonen, die durch einen gegebenen Klassierer fehlerhaft klassiert worden sind, für das weitere Training mit größerer Wahrscheinlichkeit ausgewäh"
Alphabet,155-929-381-564-620,2025-12-04,PHYSICS-INFORMED OPTIMIZATION FOR AUTONOMOUS DRIVING SYSTEMS,WAYMO LLC,Y02T10/60,"A method includes identifying map data comprising driving constraint data for a route of an autonomous vehicle (AV), the map data being of a road network associated with the route of the AV, the driving constraint data being based on physical vehicle data. The method further includes, while the AV is travelling the route, identifying current environmental sensing data for a portion of the route. The method further includes causing, based on the map data comprising the driving constraint data for"
Alphabet,179-574-470-282-992,2025-12-03,GESTENGESTEUERTE ERWEITERTE REALITÄT,GOOGLE LLC,Y02D10/00,
Alphabet,131-519-965-612-195,2025-12-02,Method and device for Thread over Internet Protocol,GOOGLE LLC,Y02D30/70,"Techniques and devices for determining a preferred physical layer for communication by a node in a Thread network are described. The node transmits a first IPv6 over Low power Wireless Personal Area Networks, 6LoWPAN, frame to a neighbor node using a first physical layer and transmits the first 6LoWPAN frame to the neighbor node using a second physical layer. The node determines a first preference value for the neighbor node using the first physical layer and determines a second preference value"
Alphabet,146-562-579-483-012,2025-12-02,네트워크 에너지 절약을 지원하기 위한 향상된 핸드오버 절차,GOOGLE LLC,Y02D30/70; Y02D30/70,"사용자 장비[user equipment]는 서빙 셀에서 무선 액세스 네트워크(radio access network, RAN)로부터, 후보 셀에 대한 측정 설정을 수신한다(509). UE는 측정 설정의 수신에 후속하여 그리고 측정 설정이 비활성화될 때, 서빙 셀에서 비활성 기간의 표시를 수신한다(520). 비활성 기간의 표시에 응답하여, UE는 후보 셀에 대한 측정 설정을 활성화한다(535A)."
